Name	00D_1	00D_2	00D_3	07D_1	07D_2	07D_3	16D_1	16D_2	16D_3	30D_1	30D_2	30D_3	50D_1	50D_2	50D_3	55D_1	55D_2	55D_3	60D_1	60D_2	60D_3
BC332_07098_mrna	5.0	5.0	2.0	4.0	1.00272	2.0	0.0	0.0	4.0	3.0	4.0	0.0	5.0	2.0	3.0	0.0	0.0	0.0	0.0	3.0	2.0
BC332_04245_mrna	2.0	6.0	6.0	4.0	7.0	3.0	5.0	0.0	1.0	5.0	3.0	0.0	30.0	60.0	28.0	34.0	50.0	76.0	17.0	23.0	34.0
BC332_01172_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_03116_mrna	165.0	190.586	121.578	191.578	143.449	143.0	180.0	146.585	169.0	148.0	155.0	145.0	164.244	166.0	202.081	208.0	229.0	194.0	280.0	145.0	210.383
BC332_21792_mrna	307.0	271.0	142.0	283.0	303.0	299.0	284.0	195.0	228.0	188.0	212.0	214.0	148.0	205.0	215.0	51.0	31.0	57.0	68.0	54.0	92.0
BC332_27087_mrna	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_21214_mrna	467.0	796.0	215.0	6.0	13.0	9.0	25.0	12.0	3.0	6.0	8.0	2.0	1.0	0.0	1.0	4.0	2.0	3.0	8.0	0.0	4.0
BC332_09646_mrna	408.0	475.0	244.0	214.0	179.0	297.0	165.0	137.0	221.0	204.0	218.0	203.0	137.0	79.0	164.0	126.0	49.0	51.0	375.0	565.0	490.0
BC332_34829_mrna	977.0	1056.0	642.0	1249.0	1049.0	1359.0	1367.0	876.0	1445.0	1424.0	1243.0	1207.0	746.0	810.0	1108.0	596.0	396.0	564.0	904.0	951.0	604.0
BC332_25468_mrna	28.0	16.0	27.0	57.0	48.0	23.0	74.0	102.0	105.0	144.0	134.0	133.0	188.0	188.0	153.0	144.0	100.0	147.0	147.0	9.0	144.0
BC332_26267_mrna	10.0	6.0	2.0	14.0	5.0	3.0	9.0	3.0	3.0	4.0	2.0	4.0	3.0	1.0	10.0	1.0	0.0	0.0	4.0	0.0	3.0
BC332_03337_mrna	3185.0	2861.0	1750.0	5580.0	4717.0	5226.0	5145.0	3639.0	4042.0	2743.0	2613.0	2433.0	1041.0	1399.0	1927.0	235.0	110.0	161.0	264.0	171.0	139.0
BC332_28019_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_18890_mrna	363.0	361.0	172.0	270.0	281.0	311.0	433.0	292.0	432.0	777.0	566.0	554.0	172.0	306.0	206.0	152.0	142.0	140.0	127.0	195.0	87.0
BC332_14923_mrna	1610.0	4254.0	1495.0	2493.0	1154.0	1160.0	472.0	495.0	1218.0	716.0	889.0	653.0	546.0	523.0	599.0	1112.0	731.0	1104.0	837.0	1471.0	1003.0
BC332_13389_mrna	30.3229	23.32	16.1482	40.6238	44.5411	47.5482	14.0985	11.0665	8.05998	8.03724	7.02097	7.04962	8.04447	1.0118	7.02862	7.05028	1.01134	4.02772	10.071	5.05637	5.04864
BC332_29232_mrna	2.0	3.0	1.0	5.0	3.0	4.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_31873_mrna	479.0	1742.0	638.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_33203_mrna	970.0	817.0	421.0	257.0	198.0	238.0	270.0	240.0	263.0	173.0	202.0	173.0	264.0	258.0	280.0	329.0	384.0	418.0	388.0	218.0	298.0
BC332_01329_mrna	407.0	351.0	177.0	539.0	527.0	538.0	679.0	509.0	655.924	796.0	700.0	869.0	850.966	817.0	897.0	273.0	224.0	236.0	388.0	460.0	328.0
BC332_29204_mrna	3771.0	2994.0	2252.0	12675.0	11282.0	10488.0	9522.0	7620.0	9139.0	10172.0	7577.0	8345.0	7215.0	12076.0	11096.0	1636.0	758.0	870.0	10260.0	7923.0	9182.0
BC332_23126_mrna	156.0	85.0	86.0	643.0	518.0	508.0	401.0	358.0	307.0	30.0	74.0	41.0	3.0	5.0	15.0	0.0	0.0	0.0	2.0	3.0	2.0
BC332_10949_mrna	0.0	0.0	3.0	32.0	14.0	12.0	28.0	34.0	30.0	21.0	44.0	29.0	38.0	23.0	26.0	21.0	8.0	18.0	15.0	1.0	35.0
BC332_14436_mrna	259.0	264.0	142.0	248.0	350.0	385.0	322.0	265.0	348.0	480.0	487.0	449.0	135.0	252.0	184.0	124.0	105.0	149.0	104.0	180.0	103.0
BC332_12142_mrna	184.0	215.0	122.0	54.0	40.0	76.0	16.0	6.0	19.0	31.0	14.0	14.0	19.0	28.0	37.0	4.0	4.0	1.0	7.0	5.0	5.0
BC332_14344_mrna	9.0	3.0	11.0	8.0	13.0	7.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_31915_mrna	920.0	833.0	497.0	933.0	999.0	1086.0	1014.0	851.0	996.0	793.0	682.0	723.0	572.0	718.0	588.0	533.0	558.0	695.0	662.0	587.0	541.0
BC332_15371_mrna	1079.0	900.0	594.0	2115.7	2198.33	2458.0	1525.0	1107.0	1525.0	1171.0	1061.0	970.0	642.0	736.0	950.0	248.0	241.0	246.0	385.0	560.25	262.0
BC332_10667_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_01022_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_12258_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	10.0	0.0	0.0	0.0
BC332_23723_mrna	0.0	1.0	0.0	1.0	1.00183	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
BC332_14535_mrna	51.0	48.0	61.0	24.0	10.0	44.0	9.0	3.0	3.0	2.0	10.0	5.0	1.0	3.0	4.0	0.0	2.0	1.0	6.0	0.0	0.0
