Name,30D_1,30D_2,30D_3,50D_1,50D_2,50D_3
BC332_04585_mrna,0.0,0.0,4.0,3.0,5.0,6.0
BC332_14059_mrna,0.0,0.0,0.0,1.0,0.0,3.0
BC332_04487_mrna,427.0,418.0,430.0,449.0,534.0,495.0
BC332_11562_mrna,4692.0,5830.0,5439.0,2027.0,1895.0,3751.0
BC332_10716_mrna,0.0,1.0,0.0,0.0,0.0,0.0
BC332_19716_mrna,303.0,264.0,285.0,144.0,239.0,171.0
BC332_01681_mrna,187.0,189.0,176.0,123.0,128.0,183.0
BC332_20540_mrna,2.0,2.0,6.14151,4.04471,1.14657,1.0
BC332_01582_mrna,3.25,5.5,2.25,5.0,8.0,8.25
BC332_05403_mrna,128.0,264.0,201.0,101.0,24.0,103.0
BC332_25503_mrna,0.0,0.0,0.0,0.0,0.0,1.0
BC332_26023_mrna,509.0,570.0,402.0,289.0,285.0,406.0
BC332_30119_mrna,573.0,440.0,398.0,441.0,541.0,415.0
BC332_09929_mrna,0.0,0.0,0.0,2.0,0.0,0.0
BC332_11634_mrna,661.0,636.0,565.0,511.0,1135.0,586.0
BC332_12832_mrna,193.0,199.0,119.0,97.0,115.0,432.0
BC332_25727_mrna,751.0,759.0,710.0,519.0,493.0,477.0
BC332_26694_mrna,3606.0,2963.0,2722.0,2350.0,2674.0,3267.0
BC332_30566_mrna,0.0,0.0,0.0,3.0,0.0,0.0
BC332_14556_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_07961_mrna,5.0,6.0,28.0,243.0,5.0,545.0
BC332_03613_mrna,0.0,0.0,0.0,2.5,2.0,0.0
BC332_00089_mrna,139.0,126.0,119.0,215.0,181.0,200.0
BC332_23697_mrna,1885.0,1681.0,1353.0,188.0,321.0,528.0
BC332_30616_mrna,1.0,0.0,0.0,0.0,0.0,0.0
BC332_11320_mrna,4.0,1.0,8.0,3.0,6.0,4.0
BC332_10048_mrna,208.0,179.0,170.0,207.0,186.0,246.0
BC332_11938_mrna,5.0,0.0,0.0,0.0,0.0,0.0
BC332_02894_mrna,10.2925,16.4824,20.5,14.9167,21.9728,22.4147
BC332_31851_mrna,54.0,49.0,54.0,83.0,145.0,90.0
BC332_10564_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_06706_mrna,495.0,397.0,412.0,456.0,399.0,517.0
BC332_22848_mrna,170.0,128.0,115.0,26.0,53.0,45.0
BC332_31030_mrna,3.0,3.0,4.0,1.0,2.0,1.0
BC332_04372_mrna,2.0,2.0,0.0,0.0,3.0,0.0
BC332_02833_mrna,16.0,13.0,8.0,13.0,12.0,17.0
BC332_22358_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_25607_mrna,0.0,0.0,0.0,1.0,1.0,0.0
BC332_22577_mrna,257.0,225.0,162.0,64.0,55.0,59.0
BC332_13600_mrna,134.63,164.0,107.0,193.005,147.0,185.465
BC332_21646_mrna,126.0,125.0,94.0,27.0,10.0,32.0
BC332_05153_mrna,572.0,565.0,388.0,494.0,771.0,799.0
BC332_20332_mrna,8.0,6.0,0.0,1.0,2.0,1.00882
BC332_00463_mrna,58.9414,44.0,46.0,20.6727,25.1817,50.3242
BC332_03082_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_26739_mrna,313.0,307.0,238.0,212.0,209.0,313.0
BC332_04718_mrna,1619.0,1630.0,1393.0,831.0,1509.0,1000.0
BC332_00614_mrna,1050.51,852.205,750.336,457.233,475.996,788.192
BC332_22619_mrna,20.0,22.0,21.0,10.0,31.0,18.0
BC332_06539_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_17769_mrna,645.458,509.203,519.385,372.385,722.439,674.592
BC332_20674_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_20573_mrna,495.0,349.0,415.0,336.0,338.0,402.0
BC332_21378_mrna,283.0,238.0,240.0,159.0,165.0,199.0
BC332_30825_mrna,360.0,407.0,352.0,379.0,480.0,463.0
BC332_29196_mrna,687.0,660.0,654.0,501.0,822.0,635.0
BC332_09204_mrna,107.0,100.0,107.0,53.0,40.0,70.0
BC332_31804_mrna,1.03607,0.0,1.07676,0.0,7.21756,0.0
BC332_27678_mrna,106.0,64.0,67.0,179.0,672.0,101.0
BC332_02304_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_32559_mrna,189.793,189.564,209.181,200.885,156.253,298.15
BC332_15522_mrna,999.0,965.0,785.0,430.0,428.0,463.0
BC332_13036_mrna,476.0,491.0,308.0,486.0,277.0,455.0
BC332_01035_mrna,1007.0,1102.0,827.0,1089.0,1262.0,1267.0
BC332_27089_mrna,344.0,474.0,391.0,36.0,60.0,92.0
BC332_02880_mrna,1.0,0.0,0.0,0.0,1.0,0.0
BC332_13279_mrna,0.0,0.0,0.0,0.0,0.0,1.0
BC332_06437_mrna,699.0,525.0,462.0,39.0,83.0,116.0
BC332_06546_mrna,165.0,154.0,146.0,130.0,132.0,159.0
BC332_26561_mrna,4.0,4.0,1.00507,4.37102,2.40965,2.0
BC332_12688_mrna,0.0,0.0,1.0,0.0,0.0,0.0
BC332_20544_mrna,2.0022,11.0221,5.01503,5.00381,2.00112,5.01726
BC332_24697_mrna,26.0,8.0,6.0,11.0,15.0,19.2427
BC332_10212_mrna,4.0,5.0,7.0,10.0,2.0,21.0
BC332_26606_mrna,18.0,40.0,8.0,0.0,0.0,1.0
BC332_11188_mrna,215.0,218.0,165.0,52.0,97.0,113.0
BC332_01630_mrna,102.0,76.0,78.0,22.0,39.0,53.0
BC332_16755_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_14685_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_13918_mrna,52.0,47.0,59.0,17.0,6.0,15.0
BC332_06710_mrna,1625.0,1374.0,1200.0,1871.0,1635.0,1763.0
BC332_34056_mrna,5.0,2.0,0.0,1.0,0.0,1.0
BC332_05310_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_34078_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_32734_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_33169_mrna,0.0,0.0,0.0,0.0,0.0,0.0
